material_id,formula,crystal_system,battery_family,is_stable,energy_above_hull,band_gap,india_feasibility_score,india_decision_label,india_rule_reason,predicted_stable_probability,predicted_is_stable,predicted_energy_above_hull,final_recommendation_score,parsed_elements,blocked_elements,predicted_energy_above_hull_clipped,family_rank,shortlist_rule_type,shortlist_rejection_reason,shortlist_score
mp-705312,LiFePO4,Orthorhombic,LFP-family,False,0.01642791,3.7718,98,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.006915991,False,0.058218144,39.61,Fe;Li;O;P,,0.058218144,1,Benchmark family exception,Included in final shortlist,42.97
mp-758000,LiFePO4,Hexagonal,LFP-family,False,0.174549679,0.0,93,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.0027701396,False,0.048558794,37.37,Fe;Li;O;P,,0.048558794,1,Benchmark family exception,Included in final shortlist,42.96
mp-758971,Li3Fe5(PO4)6,Triclinic,LFP-family,False,0.105927729,1.8148,93,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.0060746255,False,0.049423598,37.56,Fe;Li;O;P,,0.049423598,1,Benchmark family exception,Included in final shortlist,42.94
mp-759000,LiFe4(PO4)3,Triclinic,LFP-family,False,0.067813285,3.1139,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.006426726,False,0.051278893,37.99,Fe;Li;O;P,,0.051278893,1,Benchmark family exception,Included in final shortlist,42.93
mp-1177688,Li3Fe4(P2O7)4,Monoclinic,LFP-family,False,0.102612677,0.0042,93,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.0021952144,False,0.04875588,37.33,Fe;Li;O;P,,0.04875588,1,Benchmark family exception,Included in final shortlist,42.9
mp-757732,LiFe(PO3)3,Trigonal,LFP-family,False,0.066111803,3.5699,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.011303976,False,0.05257274,38.28,Fe;Li;O;P,,0.05257274,1,Benchmark family exception,Included in final shortlist,42.89
mp-1101560,LiFeP2O7,Triclinic,LFP-family,False,0.115088332,1.8744,93,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.0064231646,False,0.04981356,37.59,Fe;Li;O;P,,0.04981356,1,Benchmark family exception,Included in final shortlist,42.88
mp-760008,Li3Fe(PO4)2,Monoclinic,LFP-family,False,0.02450655,2.4517,98,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.0110385185,False,0.059795484,39.86,Fe;Li;O;P,,0.059795484,1,Benchmark family exception,Included in final shortlist,42.84
mp-773399,Li3Fe(PO4)2,Monoclinic,LFP-family,False,0.019487392,2.4956,98,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.009665148,False,0.059510294,39.78,Fe;Li;O;P,,0.059510294,1,Benchmark family exception,Included in final shortlist,42.83
mp-777855,Li4NbFe3Cu2(PO4)6,Triclinic,LFP-family,False,0.101811444,0.1427,93,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.0024503598,False,0.04920049,37.35,Cu;Fe;Li;Nb;O;P,,0.04920049,1,Benchmark family exception,Included in final shortlist,42.82
mp-758136,LiFe(PO3)4,Monoclinic,LFP-family,False,0.096581066,2.5293,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.010158562,False,0.05271391,38.21,Fe;Li;O;P,,0.05271391,1,Benchmark family exception,Included in final shortlist,42.81
mp-26811,LiFe(PO3)4,Monoclinic,LFP-family,False,0.038406458,2.9057,96,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.00851538,False,0.05588761,38.91,Fe;Li;O;P,,0.05588761,1,Benchmark family exception,Included in final shortlist,42.81
mp-772975,Li4Fe2(PO4)3,Triclinic,LFP-family,False,0.030435973,1.5499,96,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.009084076,False,0.056048937,38.95,Fe;Li;O;P,,0.056048937,1,Benchmark family exception,Included in final shortlist,42.8
mp-1101512,LiFeP2O7,Monoclinic,LFP-family,False,0.013783898,2.6064,98,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.008235537,False,0.059350375,39.69,Fe;Li;O;P,,0.059350375,1,Benchmark family exception,Included in final shortlist,42.8
mp-26069,Li3Fe2(PO4)3,Monoclinic,LFP-family,False,0.011562696,2.4969,98,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.008193004,False,0.059350375,39.69,Fe;Li;O;P,,0.059350375,1,Benchmark family exception,Included in final shortlist,42.8
mp-772138,LiFePO4,Triclinic,LFP-family,False,0.050687277,3.4288,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.0035677091,False,0.051278893,37.81,Fe;Li;O;P,,0.051278893,1,Benchmark family exception,Included in final shortlist,42.8
mp-758737,LiFe(PO3)4,Monoclinic,LFP-family,False,0.069600016,2.2489,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.0113078505,False,0.053175885,38.28,Fe;Li;O;P,,0.053175885,1,Benchmark family exception,Included in final shortlist,42.77
mp-25813,Li3Fe3(PO4)4,Monoclinic,LFP-family,False,0.058842038,2.2475,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.0113078505,False,0.053175885,38.28,Fe;Li;O;P,,0.053175885,1,Benchmark family exception,Included in final shortlist,42.77
mp-752859,LiFeP2O7,Monoclinic,LFP-family,False,0.075514545,2.379,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.011189917,False,0.053175885,38.27,Fe;Li;O;P,,0.053175885,1,Benchmark family exception,Included in final shortlist,42.77
mp-758724,LiFe(PO3)4,Monoclinic,LFP-family,False,0.075105842,2.3608,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.011189917,False,0.053175885,38.27,Fe;Li;O;P,,0.053175885,1,Benchmark family exception,Included in final shortlist,42.77
mp-1101516,LiFeP2O7,Monoclinic,LFP-family,False,0.018711986,2.5628,98,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.008307053,False,0.059580687,39.7,Fe;Li;O;P,,0.059580687,1,Benchmark family exception,Included in final shortlist,42.76
mp-758184,LiFe(PO3)3,Orthorhombic,LFP-family,False,0.005244911,4.1848,98,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.0065982803,False,0.05916349,39.6,Fe;Li;O;P,,0.05916349,1,Benchmark family exception,Included in final shortlist,42.76
mp-776686,Li5Fe3Ni2(PO4)6,Triclinic,LFP-family,False,0.064524452,2.3974,90,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.02553501,False,0.049512617,37.53,Fe;Li;Ni;O;P,,0.049512617,1,Benchmark family exception,Included in final shortlist,42.75
mp-773158,Li3Fe2(PO4)3,Monoclinic,LFP-family,False,0.088396353,2.4012,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.010772681,False,0.053175885,38.25,Fe;Li;O;P,,0.053175885,1,Benchmark family exception,Included in final shortlist,42.75
mp-26184,LiFe2P5O16,Monoclinic,LFP-family,False,0.004281455,2.5853,98,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.00872554,False,0.059769437,39.72,Fe;Li;O;P,,0.059769437,1,Benchmark family exception,Included in final shortlist,42.74
mp-771063,Li4Fe3Ni(PO4)4,Monoclinic,LFP-family,False,0.002965603,3.0636,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.006974917,False,0.0524388,38.02,Fe;Li;Ni;O;P,,0.0524388,1,Benchmark family exception,Included in final shortlist,42.73
mp-757027,LiFePO4,Orthorhombic,LFP-family,False,0.015926688,3.726,98,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.006915991,False,0.05940158,39.61,Fe;Li;O;P,,0.05940158,1,Benchmark family exception,Included in final shortlist,42.73
mp-26269,LiFe(PO3)4,Monoclinic,LFP-family,False,0.020458548,2.3543,98,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.008292869,False,0.059865877,39.7,Fe;Li;O;P,,0.059865877,1,Benchmark family exception,Included in final shortlist,42.7
