pca_component_count,kernel_name,entanglement_strength,angle_scale,angle_scale_value,c_value,quantum_state_size,train_validation_rows,cross_validation_splits,cv_accuracy,cv_stable_precision,cv_stable_recall,cv_stable_f1
6,entangled_pi,3.141593,pi_over_2,1.570796,0.5,64,800,4,0.8362,0.8143,0.875,0.8427
6,entangled_pi,3.141593,pi_over_2,1.570796,1.0,64,800,4,0.8362,0.8143,0.875,0.8427
6,entangled_pi,3.141593,pi_over_2,1.570796,2.0,64,800,4,0.8388,0.8166,0.8775,0.8451
6,entangled_pi,3.141593,pi_over_2,1.570796,5.0,64,800,4,0.8425,0.8246,0.875,0.848
6,entangled_pi,3.141593,pi_over_2,1.570796,10.0,64,800,4,0.8462,0.8289,0.8775,0.8516
6,product,0.0,pi,3.141593,0.1,64,800,4,0.8388,0.8201,0.8725,0.8445
6,product,0.0,pi,3.141593,0.5,64,800,4,0.8425,0.8231,0.8775,0.8485
6,product,0.0,pi,3.141593,1.0,64,800,4,0.8412,0.8227,0.875,0.847
6,product,0.0,pi,3.141593,2.0,64,800,4,0.8438,0.8248,0.8775,0.8494
6,product,0.0,pi,3.141593,5.0,64,800,4,0.845,0.8271,0.8775,0.8506
6,product,0.0,pi,3.141593,10.0,64,800,4,0.8438,0.8308,0.87,0.8484
6,entangled_pi_over_2,1.570796,pi,3.141593,0.1,64,800,4,0.84,0.8201,0.875,0.8458
6,entangled_pi_over_2,1.570796,pi,3.141593,0.5,64,800,4,0.8425,0.8231,0.8775,0.8485
6,entangled_pi_over_2,1.570796,pi,3.141593,1.0,64,800,4,0.8438,0.8262,0.875,0.849
6,entangled_pi_over_2,1.570796,pi,3.141593,2.0,64,800,4,0.8438,0.8248,0.8775,0.8494
6,entangled_pi_over_2,1.570796,pi,3.141593,5.0,64,800,4,0.8475,0.8312,0.8775,0.8527
6,entangled_pi_over_2,1.570796,pi,3.141593,10.0,64,800,4,0.8538,0.8474,0.8675,0.8562
6,entangled_pi,3.141593,pi,3.141593,0.1,64,800,4,0.8475,0.8278,0.8825,0.8534
6,entangled_pi,3.141593,pi,3.141593,0.5,64,800,4,0.8475,0.8259,0.885,0.8536
6,entangled_pi,3.141593,pi,3.141593,1.0,64,800,4,0.845,0.8251,0.88,0.8508
6,entangled_pi,3.141593,pi,3.141593,2.0,64,800,4,0.845,0.8263,0.8775,0.8505
6,entangled_pi,3.141593,pi,3.141593,5.0,64,800,4,0.8562,0.8518,0.8675,0.8585
6,entangled_pi,3.141593,pi,3.141593,10.0,64,800,4,0.8562,0.8536,0.865,0.858
6,product,0.0,two_pi,6.283185,0.1,64,800,4,0.8387,0.8206,0.8725,0.8446
6,product,0.0,two_pi,6.283185,0.5,64,800,4,0.8425,0.8231,0.8775,0.8484
6,product,0.0,two_pi,6.283185,1.0,64,800,4,0.8425,0.8252,0.875,0.8481
6,product,0.0,two_pi,6.283185,2.0,64,800,4,0.8412,0.8304,0.865,0.8457
6,product,0.0,two_pi,6.283185,5.0,64,800,4,0.8512,0.851,0.86,0.8533
6,product,0.0,two_pi,6.283185,10.0,64,800,4,0.8438,0.8525,0.84,0.8434
