material_id,formula,space_group_number,crystal_system,formation_energy_per_atom,energy_above_hull,is_stable,band_gap,is_metal,theoretical,deprecated
mp-26359,Li2Co(PO3)4,15,Monoclinic,-2.541905476,0.01301099,FALSE,3.212,FALSE,TRUE,FALSE
mp-26361,LiCo(PO3)4,15,Monoclinic,-2.397715733,0.030987876,FALSE,1.0277,FALSE,TRUE,FALSE
mp-26365,Li2NiP2O7,14,Monoclinic,-2.486489539,0.025499805,FALSE,3.3586,FALSE,TRUE,FALSE
mp-26367,Li3Mn2(PO4)3,15,Monoclinic,-2.544119332,0.023402064,FALSE,1.204,FALSE,TRUE,FALSE
mp-26368,LiMn2(PO4)3,15,Monoclinic,-2.29889501,0.083376256,FALSE,0.4157,FALSE,TRUE,FALSE
mp-26369,Li4Ni(PO4)2,14,Monoclinic,-2.552803924,0.019272509,FALSE,3.5314,FALSE,TRUE,FALSE
mp-26371,LiMoPO5,62,Orthorhombic,-2.438260796,0.039321388,FALSE,0.1537,FALSE,TRUE,FALSE
mp-26377,Li5Bi2P5O18,2,Triclinic,-2.581246555,0.02377806,FALSE,3.914,FALSE,TRUE,FALSE
mp-26379,LiMnP2O7,2,Triclinic,-2.554750186,0.010574684,FALSE,1.7196,FALSE,TRUE,FALSE
mp-26387,LiNiPO4,33,Orthorhombic,-2.332502798,0.032545349,FALSE,3.506,FALSE,TRUE,FALSE
mp-26389,LiNb2(PO4)3,14,Monoclinic,-2.777763071,0.047891898,FALSE,0,TRUE,TRUE,FALSE
mp-26393,LiMn4(PO4)3,62,Orthorhombic,-2.551067789,0.028742485,FALSE,3.3657,FALSE,TRUE,FALSE
mp-26397,LiMnP2O7,14,Monoclinic,-2.548181922,0.017142948,FALSE,1.272,FALSE,TRUE,FALSE
mp-26399,Li3V(PO4)2,12,Monoclinic,-2.708453484,0.026473023,FALSE,2.0725,FALSE,TRUE,FALSE
mp-26400,Li2V(PO4)2,8,Monoclinic,-2.631433764,0.055384439,FALSE,1.4582,FALSE,TRUE,FALSE
mp-26401,LiMoP4O13,19,Orthorhombic,-2.480874908,0.038515209,FALSE,1.4889,FALSE,TRUE,FALSE
mp-26403,LiNiPO4,14,Monoclinic,-2.333686813,0.031361335,FALSE,3.2301,FALSE,TRUE,FALSE
mp-26406,LiCoP2O7,1,Triclinic,-2.27845335,0.106800226,FALSE,0.9126,FALSE,TRUE,FALSE
mp-26407,Li2SnP2O7,14,Monoclinic,-2.545748016,0.026173986,FALSE,4.0982,FALSE,TRUE,FALSE
mp-26409,LiTi(PO3)4,15,Monoclinic,-2.736536068,0.040257192,FALSE,0.1806,FALSE,TRUE,FALSE
mp-26413,Li2MnP2O7,14,Monoclinic,-2.646189876,0.025054616,FALSE,4.1118,FALSE,TRUE,FALSE
mp-26415,Li2V(PO4)2,14,Monoclinic,-2.658300478,0.028517724,FALSE,1.3101,FALSE,TRUE,FALSE
mp-26416,LiV(PO4)2,4,Monoclinic,-2.47933917,0.106166194,FALSE,1.1782,FALSE,TRUE,FALSE
