feature_count,feature_names,angle_scale,angle_scale_value,c_value,quantum_state_size,train_validation_rows,cross_validation_splits,cv_accuracy,cv_stable_precision,cv_stable_recall,cv_stable_f1
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c,two_pi,6.283185,0.5,256,800,4,0.7425,0.7499,0.73,0.7385
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c,two_pi,6.283185,1.0,256,800,4,0.755,0.7681,0.735,0.7492
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c,two_pi,6.283185,2.0,256,800,4,0.75,0.77,0.7175,0.7411
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c,two_pi,6.283185,5.0,256,800,4,0.7537,0.7752,0.72,0.745
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c,two_pi,6.283185,10.0,256,800,4,0.7562,0.776,0.725,0.7482
10,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_si; scaled_has_s,pi_over_2,1.570796,0.1,1024,800,4,0.7137,0.6994,0.7775,0.7312
10,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_si; scaled_has_s,pi_over_2,1.570796,0.5,1024,800,4,0.775,0.7492,0.8275,0.786
10,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_si; scaled_has_s,pi_over_2,1.570796,1.0,1024,800,4,0.7975,0.7668,0.855,0.8084
10,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_si; scaled_has_s,pi_over_2,1.570796,2.0,1024,800,4,0.8012,0.7747,0.85,0.8105
10,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_si; scaled_has_s,pi_over_2,1.570796,5.0,1024,800,4,0.8,0.7754,0.845,0.8084
10,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_si; scaled_has_s,pi_over_2,1.570796,10.0,1024,800,4,0.805,0.7773,0.855,0.814
10,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_si; scaled_has_s,pi,3.141593,0.1,1024,800,4,0.74,0.7738,0.6825,0.7236
10,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_si; scaled_has_s,pi,3.141593,0.5,1024,800,4,0.7875,0.767,0.825,0.7946
10,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_si; scaled_has_s,pi,3.141593,1.0,1024,800,4,0.7887,0.7695,0.825,0.7957
10,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_si; scaled_has_s,pi,3.141593,2.0,1024,800,4,0.7875,0.7741,0.8125,0.7924
10,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_si; scaled_has_s,pi,3.141593,5.0,1024,800,4,0.7875,0.7769,0.8075,0.7916
10,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_si; scaled_has_s,pi,3.141593,10.0,1024,800,4,0.7912,0.7851,0.8025,0.7935
10,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_si; scaled_has_s,two_pi,6.283185,0.1,1024,800,4,0.7438,0.7173,0.805,0.7578
10,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_si; scaled_has_s,two_pi,6.283185,0.5,1024,800,4,0.7425,0.7499,0.73,0.7385
10,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_si; scaled_has_s,two_pi,6.283185,1.0,1024,800,4,0.755,0.7681,0.735,0.7492
10,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_si; scaled_has_s,two_pi,6.283185,2.0,1024,800,4,0.75,0.77,0.7175,0.7411
10,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_si; scaled_has_s,two_pi,6.283185,5.0,1024,800,4,0.7537,0.7752,0.72,0.745
10,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_si; scaled_has_s,two_pi,6.283185,10.0,1024,800,4,0.7562,0.776,0.725,0.7482
