pca_component_count,kernel_name,entanglement_strength,angle_scale,angle_scale_value,c_value,quantum_state_size,train_validation_rows,cross_validation_splits,cv_accuracy,cv_stable_precision,cv_stable_recall,cv_stable_f1
6,entangled_pi,3.141593,two_pi,6.283185,0.5,64,800,4,0.8487,0.8449,0.86,0.8512
6,entangled_pi,3.141593,two_pi,6.283185,1.0,64,800,4,0.8487,0.8457,0.86,0.851
6,entangled_pi,3.141593,two_pi,6.283185,2.0,64,800,4,0.85,0.8506,0.855,0.8513
6,entangled_pi,3.141593,two_pi,6.283185,5.0,64,800,4,0.85,0.8495,0.855,0.8512
6,entangled_pi,3.141593,two_pi,6.283185,10.0,64,800,4,0.8475,0.85,0.8475,0.848
8,product,0.0,pi_over_2,1.570796,0.1,256,800,4,0.8138,0.8251,0.8,0.8116
8,product,0.0,pi_over_2,1.570796,0.5,256,800,4,0.8412,0.821,0.8775,0.8473
8,product,0.0,pi_over_2,1.570796,1.0,256,800,4,0.8438,0.8245,0.8775,0.8493
8,product,0.0,pi_over_2,1.570796,2.0,256,800,4,0.8475,0.8323,0.875,0.852
8,product,0.0,pi_over_2,1.570796,5.0,256,800,4,0.845,0.8394,0.8575,0.8473
8,product,0.0,pi_over_2,1.570796,10.0,256,800,4,0.8462,0.8415,0.8575,0.8484
8,entangled_pi_over_2,1.570796,pi_over_2,1.570796,0.1,256,800,4,0.8138,0.8251,0.8,0.8116
8,entangled_pi_over_2,1.570796,pi_over_2,1.570796,0.5,256,800,4,0.8425,0.8227,0.8775,0.8483
8,entangled_pi_over_2,1.570796,pi_over_2,1.570796,1.0,256,800,4,0.845,0.8268,0.8775,0.8504
8,entangled_pi_over_2,1.570796,pi_over_2,1.570796,2.0,256,800,4,0.8525,0.8402,0.875,0.8562
8,entangled_pi_over_2,1.570796,pi_over_2,1.570796,5.0,256,800,4,0.845,0.8394,0.8575,0.8473
8,entangled_pi_over_2,1.570796,pi_over_2,1.570796,10.0,256,800,4,0.8475,0.8437,0.8575,0.8494
8,entangled_pi,3.141593,pi_over_2,1.570796,0.1,256,800,4,0.815,0.8301,0.7975,0.8124
8,entangled_pi,3.141593,pi_over_2,1.570796,0.5,256,800,4,0.8438,0.8245,0.8775,0.8493
8,entangled_pi,3.141593,pi_over_2,1.570796,1.0,256,800,4,0.8488,0.8351,0.875,0.8532
8,entangled_pi,3.141593,pi_over_2,1.570796,2.0,256,800,4,0.8475,0.8342,0.8725,0.8518
8,entangled_pi,3.141593,pi_over_2,1.570796,5.0,256,800,4,0.8425,0.8359,0.8575,0.8453
8,entangled_pi,3.141593,pi_over_2,1.570796,10.0,256,800,4,0.8425,0.8376,0.855,0.8449
8,product,0.0,pi,3.141593,0.1,256,800,4,0.8512,0.8467,0.8625,0.8534
8,product,0.0,pi,3.141593,0.5,256,800,4,0.85,0.8448,0.8625,0.8524
8,product,0.0,pi,3.141593,1.0,256,800,4,0.8512,0.8484,0.86,0.8531
8,product,0.0,pi,3.141593,2.0,256,800,4,0.8512,0.8519,0.855,0.8523
8,product,0.0,pi,3.141593,5.0,256,800,4,0.8562,0.8537,0.8625,0.8573
8,product,0.0,pi,3.141593,10.0,256,800,4,0.8562,0.8537,0.8625,0.8573
8,entangled_pi_over_2,1.570796,pi,3.141593,0.1,256,800,4,0.8512,0.8467,0.8625,0.8534
8,entangled_pi_over_2,1.570796,pi,3.141593,0.5,256,800,4,0.8512,0.8466,0.8625,0.8534
8,entangled_pi_over_2,1.570796,pi,3.141593,1.0,256,800,4,0.85,0.8484,0.8575,0.8516
8,entangled_pi_over_2,1.570796,pi,3.141593,2.0,256,800,4,0.8538,0.8526,0.86,0.8551
8,entangled_pi_over_2,1.570796,pi,3.141593,5.0,256,800,4,0.8562,0.8537,0.8625,0.8573
8,entangled_pi_over_2,1.570796,pi,3.141593,10.0,256,800,4,0.8525,0.8512,0.8575,0.8533
8,entangled_pi,3.141593,pi,3.141593,0.1,256,800,4,0.8525,0.8485,0.8625,0.8544
8,entangled_pi,3.141593,pi,3.141593,0.5,256,800,4,0.85,0.8461,0.86,0.852
8,entangled_pi,3.141593,pi,3.141593,1.0,256,800,4,0.85,0.8498,0.855,0.8512
8,entangled_pi,3.141593,pi,3.141593,2.0,256,800,4,0.8575,0.8566,0.8625,0.8585
8,entangled_pi,3.141593,pi,3.141593,5.0,256,800,4,0.855,0.8516,0.8625,0.8562
8,entangled_pi,3.141593,pi,3.141593,10.0,256,800,4,0.8538,0.8514,0.86,0.8548
8,product,0.0,two_pi,6.283185,0.1,256,800,4,0.8337,0.8569,0.8075,0.829
8,product,0.0,two_pi,6.283185,0.5,256,800,4,0.8538,0.8536,0.8575,0.8546
8,product,0.0,two_pi,6.283185,1.0,256,800,4,0.8538,0.8536,0.8575,0.8546
8,product,0.0,two_pi,6.283185,2.0,256,800,4,0.8538,0.8522,0.86,0.855
8,product,0.0,two_pi,6.283185,5.0,256,800,4,0.8525,0.8535,0.855,0.8532
8,product,0.0,two_pi,6.283185,10.0,256,800,4,0.8538,0.855,0.855,0.854
8,entangled_pi_over_2,1.570796,two_pi,6.283185,0.1,256,800,4,0.8338,0.8551,0.81,0.8296
8,entangled_pi_over_2,1.570796,two_pi,6.283185,0.5,256,800,4,0.8525,0.8534,0.855,0.8532
8,entangled_pi_over_2,1.570796,two_pi,6.283185,1.0,256,800,4,0.8525,0.8517,0.8575,0.8536
8,entangled_pi_over_2,1.570796,two_pi,6.283185,2.0,256,800,4,0.855,0.8525,0.8625,0.8564
8,entangled_pi_over_2,1.570796,two_pi,6.283185,5.0,256,800,4,0.8537,0.854,0.8575,0.8546
8,entangled_pi_over_2,1.570796,two_pi,6.283185,10.0,256,800,4,0.855,0.8554,0.8575,0.8555
8,entangled_pi,3.141593,two_pi,6.283185,0.1,256,800,4,0.8312,0.8512,0.81,0.8274
8,entangled_pi,3.141593,two_pi,6.283185,0.5,256,800,4,0.855,0.858,0.855,0.8554
8,entangled_pi,3.141593,two_pi,6.283185,1.0,256,800,4,0.8538,0.8524,0.86,0.855
8,entangled_pi,3.141593,two_pi,6.283185,2.0,256,800,4,0.855,0.8511,0.865,0.8568
8,entangled_pi,3.141593,two_pi,6.283185,5.0,256,800,4,0.8562,0.8548,0.8625,0.8574
8,entangled_pi,3.141593,two_pi,6.283185,10.0,256,800,4,0.8562,0.8558,0.86,0.8569
